ダウンロードした時刻：2024/10/14 14:28:00

,網走,網走,網走,網走,網走,網走,東京,東京,東京,東京,東京,東京,大阪,大阪,大阪,大阪,大阪,大阪,福岡,福岡,福岡,福岡,福岡,福岡
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/10/13,20.7,8,1,9.0,8,1,23.4,8,1,14.6,8,1,24.8,8,1,14.1,8,1,25.8,8,1,16.3,8,1
2023/10/14,21.7,8,1,9.6,8,1,23.4,8,1,12.7,8,1,21.1,8,1,15.9,8,1,24.9,8,1,18.5,8,1
2023/10/15,21.4,8,1,9.6,8,1,16.9,8,1,14.0,8,1,24.4,8,1,16.2,8,1,23.8,8,1,17.9,8,1
2023/10/16,19.6,8,1,7.8,8,1,25.8,8,1,12.1,8,1,24.6,8,1,16.2,8,1,25.1,8,1,17.3,8,1
2023/10/17,12.9,8,1,5.1,8,1,25.2,8,1,15.2,8,1,24.8,8,1,16.2,8,1,24.8,8,1,16.6,8,1
2023/10/18,14.8,8,1,8.8,8,1,24.4,8,1,13.7,8,1,26.5,8,1,14.7,8,1,25.2,8,1,15.1,8,1
2023/10/19,20.7,8,1,9.8,8,1,25.4,8,1,14.8,8,1,26.4,8,1,16.7,8,1,27.4,8,1,14.7,8,1
2023/10/20,14.2,8,1,7.7,8,1,27.1,8,1,16.2,8,1,26.0,8,1,16.5,8,1,21.8,8,1,15.3,8,1
2023/10/21,10.8,8,1,4.7,8,1,22.5,8,1,14.3,8,1,19.2,8,1,13.4,8,1,19.6,8,1,13.8,8,1
2023/10/22,14.0,8,1,1.9,8,1,20.2,8,1,11.5,8,1,20.3,8,1,11.0,8,1,22.9,8,1,12.6,8,1
2023/10/23,13.3,8,1,5.2,8,1,23.0,8,1,11.4,8,1,23.3,8,1,12.7,8,1,23.0,8,1,13.7,8,1
2023/10/24,16.5,8,1,5.1,8,1,24.0,8,1,12.9,8,1,24.5,8,1,13.3,8,1,23.3,8,1,13.1,8,1
2023/10/25,18.4,8,1,9.2,8,1,22.2,8,1,11.4,8,1,23.8,8,1,15.5,8,1,24.3,8,1,13.2,8,1
2023/10/26,15.4,8,1,6.8,8,1,23.4,8,1,11.5,8,1,24.0,8,1,13.5,8,1,25.4,8,1,13.5,8,1
2023/10/27,16.4,8,1,8.5,8,1,23.4,8,1,13.4,8,1,23.8,8,1,13.9,8,1,24.1,8,1,15.7,8,1
2023/10/28,11.9,8,1,10.0,8,1,21.4,8,1,14.3,8,1,22.1,8,1,12.7,8,1,22.7,8,1,15.2,8,1
2023/10/29,10.9,8,1,6.8,8,1,20.8,8,1,12.5,8,1,20.2,8,1,13.7,8,1,21.5,8,1,13.2,8,1
